Employee_ID,Hire_Date,Age,Gender,Marital_Status,Region,Education_Level,Department,Employment_Type,Shift,Tenure_Years,Monthly_Salary_PHP,Performance_Score,Performance_Rating,Training_Hours_YTD,Absences_YTD,Overtime_Hours_Monthly,Distance_Office_KM,Job_Satisfaction_Score,Work_Life_Balance_Score,Num_Promotions,Prev_Companies,Attrition,Hire_Year,Salary_Bracket,Age_Group,High_Performer,Engagement_Score,Promotion_Rate,Overtime_Intensity,Cluster
EMP03823,2015-10-06,52.0,Male,Married,NCR,Vocational,IT,Contractual,Night,13.4,44500.0,4.1,Exceeds Expectations,52.0,10,15,5.0,4.4,4.8,4,4,0,2015,High,Senior (46+),1,4.6,0.29850746268656714,Moderate,3
EMP05160,2020-11-29,50.0,Male,Single,Region III,High School,HR,Regular,Afternoon,23.3,46500.0,3.1,Meets Expectations,33.0,9,9,24.0,3.8,6.5,4,0,0,2020,High,Senior (46+),0,5.15,0.17167381974248927,Low,3
EMP04755,2022-10-07,58.0,Female,Single,NCR,Vocational,Sales,Contractual,Morning,9.7,34500.0,4.4,Exceeds Expectations,53.0,11,35,8.0,5.5,3.2,2,1,0,2022,Medium,Senior (46+),1,4.35,0.2061855670103093,Very High,3
EMP04971,2010-02-01,37.0,Male,Married,NCR,Vocational,Legal/Compliance,Regular,Graveyard,13.1,41000.0,2.6,Meets Expectations,20.0,22,16,14.0,4.1,3.1,2,0,1,2010,High,Mid-Career (31-45),0,3.5999999999999996,0.15267175572519084,Moderate,2
EMP01334,2021-05-06,46.0,Male,Single,Region I,Bachelor,Operations,Contractual,Afternoon,9.2,34500.0,4.4,Exceeds Expectations,62.0,8,12,232.0,4.9,4.3,2,5,1,2021,Medium,Senior (46+),1,4.6,0.2173913043478261,Moderate,3
EMP04065,2016-05-14,41.0,Female,Widowed,Region XI,Bachelor,IT,Regular,Morning,18.1,53500.0,4.0,Exceeds Expectations,40.0,8,13,300.0,6.9,4.8,4,1,0,2016,High,Mid-Career (31-45),1,5.85,0.22099447513812154,Moderate,3
EMP01502,2012-01-02,40.0,Male,Married,Region III,High School,HR,Contractual,Afternoon,7.8,26000.0,1.0,Needs Improvement,24.0,19,12,36.0,1.0,4.6,0,1,1,2012,Medium,Mid-Career (31-45),0,2.8,0.0,Moderate,2
EMP03093,2014-06-01,58.0,Female,Separated,Region XI,Vocational,Operations,Project-based,Afternoon,9.6,29000.0,2.8,Meets Expectations,29.0,18,14,300.0,3.1,5.3,1,0,1,2014,Medium,Senior (46+),0,4.2,0.10416666666666667,Moderate,3
EMP04254,2021-05-01,58.0,Female,Married,NCR,Bachelor,Operations,Regular,Afternoon,21.9,43000.0,3.2,Meets Expectations,31.0,12,19,6.0,3.1,7.7,4,1,0,2021,High,Senior (46+),0,5.4,0.18264840182648404,Moderate,3
EMP02478,2019-10-19,44.0,Male,Single,Region I,Bachelor,Marketing,Regular,Morning,19.0,52500.0,4.2,Exceeds Expectations,45.0,7,12,280.0,1.4,6.6,5,0,0,2019,High,Mid-Career (31-45),1,4.0,0.2631578947368421,Moderate,3
EMP05450,2016-11-29,57.0,Male,Married,NCR,Master,Marketing,Regular,Morning,29.1,71500.0,4.3,Exceeds Expectations,43.0,9,14,10.0,4.3,4.2,8,2,0,2016,Very High,Senior (46+),1,4.25,0.274914089347079,Moderate,1
EMP03548,2012-08-25,39.0,Male,Married,Region IV-A,Bachelor,Sales,Regular,Afternoon,15.1,37500.0,2.7,Meets Expectations,42.0,10,11,55.0,5.0,6.3,2,0,0,2012,Medium,Mid-Career (31-45),0,5.65,0.13245033112582782,Moderate,3
EMP03842,2023-10-10,51.0,Female,Single,CAR,Bachelor,Marketing,Regular,Graveyard,24.5,54000.0,5.0,Outstanding,67.0,10,23,300.0,5.8,3.4,8,1,1,2023,High,Senior (46+),1,4.6,0.32653061224489793,High,1
EMP02159,2020-05-18,31.0,Male,Married,Region VI,Bachelor,Customer Service,Regular,Graveyard,8.2,30000.0,3.0,Meets Expectations,26.0,10,22,300.0,5.6,4.4,1,1,1,2020,Medium,Mid-Career (31-45),0,5.0,0.12195121951219513,High,3
EMP05669,2020-10-30,36.0,Female,Married,Region I,Bachelor,IT,Regular,Afternoon,16.8,57000.0,4.8,Outstanding,61.0,6,32,203.0,6.8,4.3,5,6,0,2020,High,Mid-Career (31-45),1,5.55,0.2976190476190476,Very High,3
EMP01860,2010-02-01,51.0,Female,Married,Region XI,Bachelor,Operations,Regular,Night,23.6,36000.0,4.4,Exceeds Expectations,38.0,14,26,197.0,5.9,5.3,6,1,0,2010,Medium,Senior (46+),1,5.6,0.2542372881355932,High,1
EMP03687,2008-04-03,58.0,Female,Single,Region VII,Bachelor,Operations,Regular,Afternoon,22.7,41500.0,3.4,Meets Expectations,36.0,10,11,281.0,6.7,5.6,5,2,0,2008,High,Senior (46+),0,6.15,0.22026431718061676,Moderate,1
EMP05480,2018-11-21,37.0,Male,Married,Region VII,Vocational,HR,Contractual,Afternoon,8.0,31500.0,4.9,Outstanding,54.0,6,30,107.0,6.9,4.0,3,1,0,2018,Medium,Mid-Career (31-45),1,5.45,0.375,High,3
EMP04571,2020-01-31,26.0,Male,Separated,Region III,Vocational,Sales,Regular,Morning,5.3,24500.0,2.6,Meets Expectations,46.0,15,11,26.0,4.1,2.3,1,3,1,2020,Low,Young (18-30),0,3.1999999999999997,0.18867924528301888,Moderate,3
EMP02336,2019-11-27,42.0,Female,Single,Region XI,Bachelor,IT,Project-based,Night,8.0,50000.0,1.3,Needs Improvement,29.0,17,14,300.0,3.1,5.7,1,1,1,2019,High,Mid-Career (31-45),0,4.4,0.125,Moderate,2
EMP04687,2021-04-25,38.0,Male,Single,Region III,Bachelor,Customer Service,Contractual,Morning,7.9,30500.0,1.5,Needs Improvement,16.0,15,20,62.0,1.8,4.5,0,7,1,2021,Medium,Mid-Career (31-45),0,3.15,0.0,Moderate,2
EMP03446,2018-04-01,55.0,Female,Single,Region III,High School,Sales,Regular,Morning,17.7,32000.0,3.0,Meets Expectations,46.0,12,6,44.0,3.9,5.6,3,2,0,2018,Medium,Senior (46+),0,4.75,0.16949152542372883,Low,3
EMP03537,2021-09-06,58.0,Female,Married,Region I,Bachelor,Marketing,Regular,Afternoon,28.4,60000.0,3.6,Exceeds Expectations,55.0,9,25,270.0,2.8,6.0,6,2,0,2021,High,Senior (46+),0,4.4,0.21126760563380284,High,1
EMP03084,2014-12-15,47.0,Female,Single,Region IV-A,Vocational,Customer Service,Project-based,Afternoon,8.2,37000.0,3.7,Exceeds Expectations,39.0,15,20,35.0,1.3,7.2,2,1,1,2014,Medium,Senior (46+),0,4.25,0.24390243902439027,Moderate,3
EMP02808,2018-09-01,52.0,Female,Separated,Region III,High School,Operations,Project-based,Afternoon,7.9,24500.0,4.1,Exceeds Expectations,57.0,13,18,40.0,4.8,4.9,2,2,1,2018,Low,Senior (46+),1,4.85,0.2531645569620253,Moderate,3
EMP03585,2021-02-28,57.0,Female,Single,NCR,Vocational,HR,Regular,Night,28.6,44500.0,1.3,Needs Improvement,13.0,19,18,38.0,1.0,5.1,2,1,1,2021,High,Senior (46+),0,3.05,0.06993006993006992,Moderate,2
EMP04631,2019-02-04,51.0,Female,Single,Region IV-A,Vocational,Marketing,Project-based,Afternoon,10.1,40000.0,1.4,Needs Improvement,33.0,13,14,25.0,1.0,5.7,1,3,1,2019,Medium,Senior (46+),0,3.35,0.09900990099009901,Moderate,2
EMP05120,2022-05-31,30.0,Female,Separated,Region IV-A,High School,IT,Contractual,Night,5.8,38000.0,2.6,Meets Expectations,28.0,20,4,59.0,4.2,7.7,1,1,1,2022,Medium,Young (18-30),0,5.95,0.1724137931034483,Low,3
EMP01297,2018-10-18,49.0,Female,Single,Region XI,Master,Marketing,Project-based,Night,10.3,55500.0,5.0,Outstanding,47.0,8,15,300.0,4.2,6.3,3,3,1,2018,High,Senior (46+),1,5.25,0.2912621359223301,Moderate,3
EMP03101,2017-10-19,30.0,Male,Married,NCR,Bachelor,Customer Service,Contractual,Morning,5.5,31500.0,2.6,Meets Expectations,24.0,12,25,10.0,5.4,3.1,0,1,1,2017,Medium,Young (18-30),0,4.25,0.0,High,3
EMP02785,2018-05-10,35.0,Female,Married,Region IV-A,Bachelor,IT,Regular,Night,13.8,50500.0,1.4,Needs Improvement,25.0,18,11,33.0,3.2,6.5,1,1,0,2018,High,Mid-Career (31-45),0,4.85,0.07246376811594203,Moderate,2
EMP03395,2023-01-31,56.0,Male,Married,NCR,Master,Customer Service,Regular,Afternoon,26.9,66500.0,4.1,Exceeds Expectations,50.0,10,30,6.0,4.5,5.6,7,0,0,2023,Very High,Senior (46+),1,5.05,0.26022304832713755,High,1
EMP01394,2014-09-18,40.0,Female,Married,Region I,Bachelor,Marketing,Contractual,Graveyard,11.3,43500.0,1.0,Needs Improvement,5.0,17,18,157.0,1.0,2.5,1,1,1,2014,High,Mid-Career (31-45),0,1.75,0.08849557522123894,Moderate,2
EMP02570,2017-03-19,56.0,Female,Single,Region VII,Master,Finance,Regular,Graveyard,30.0,85000.0,4.2,Exceeds Expectations,28.0,10,13,300.0,2.4,2.0,8,2,0,2017,Very High,Senior (46+),1,2.2,0.26666666666666666,Moderate,1
EMP01682,2008-02-18,34.0,Female,Single,NCR,Master,Sales,Regular,Afternoon,8.8,47500.0,3.8,Exceeds Expectations,42.0,0,7,7.0,5.4,6.0,2,0,0,2008,High,Mid-Career (31-45),0,5.7,0.22727272727272727,Low,3
EMP03723,2022-11-23,50.0,Male,Single,Region III,Master,Marketing,Regular,Afternoon,24.2,69500.0,2.9,Meets Expectations,32.0,15,26,66.0,4.2,2.7,5,2,0,2022,Very High,Senior (46+),0,3.45,0.2066115702479339,High,1
EMP03358,2018-01-31,36.0,Female,Single,NCR,Master,Operations,Regular,Morning,10.9,50000.0,2.6,Meets Expectations,42.0,10,40,9.0,6.1,1.2,2,1,1,2018,High,Mid-Career (31-45),0,3.65,0.18348623853211007,Very High,3
EMP04925,2014-05-01,48.0,Male,Married,Region VII,Bachelor,Legal/Compliance,Regular,Afternoon,21.7,55000.0,2.7,Meets Expectations,28.0,13,0,279.0,4.1,2.5,4,1,0,2014,High,Senior (46+),0,3.3,0.18433179723502305,Low,3
EMP03330,2014-09-02,45.0,Female,Married,Region VI,Vocational,Operations,Regular,Graveyard,16.0,29000.0,4.1,Exceeds Expectations,37.0,10,28,38.0,4.7,2.0,5,8,1,2014,Medium,Mid-Career (31-45),1,3.35,0.3125,High,3
EMP04348,2023-06-04,58.0,Male,Married,CAR,Vocational,Operations,Contractual,Morning,12.0,27000.0,3.1,Meets Expectations,29.0,10,27,195.0,3.5,6.6,2,0,1,2023,Medium,Senior (46+),0,5.05,0.16666666666666666,High,3
EMP03896,2013-05-28,58.0,Female,Married,NCR,Vocational,Customer Service,Contractual,Morning,17.1,37000.0,1.0,Needs Improvement,18.0,14,9,10.0,2.3,3.9,1,1,1,2013,Medium,Senior (46+),0,3.0999999999999996,0.05847953216374269,Low,2
EMP01080,2023-01-12,30.0,Female,Single,Region IV-A,PhD,Operations,Regular,Afternoon,13.8,70500.0,2.8,Meets Expectations,47.0,9,13,28.0,2.7,4.4,2,1,1,2023,Very High,Young (18-30),0,3.5500000000000003,0.14492753623188406,Moderate,3
EMP01743,2013-07-18,33.0,Female,Married,NCR,Vocational,Marketing,Project-based,Night,4.4,35500.0,5.0,Outstanding,62.0,7,22,9.0,7.1,5.1,1,2,1,2013,Medium,Mid-Career (31-45),1,6.1,0.22727272727272727,High,3
EMP03654,2012-03-05,45.0,Female,Married,Region VII,Bachelor,Operations,Contractual,Graveyard,7.7,24000.0,4.3,Exceeds Expectations,34.0,10,23,138.0,4.1,2.9,2,2,1,2012,Low,Mid-Career (31-45),1,3.5,0.2597402597402597,High,3
EMP01200,2018-08-29,32.0,Male,Married,Region VII,Bachelor,Marketing,Regular,Graveyard,9.5,48500.0,3.6,Exceeds Expectations,39.0,8,13,300.0,5.0,4.8,2,2,1,2018,High,Mid-Career (31-45),0,4.9,0.21052631578947367,Moderate,3
EMP05544,2009-04-17,39.0,Female,Single,Region III,Bachelor,Sales,Regular,Night,14.8,32500.0,3.4,Meets Expectations,32.0,17,11,47.0,4.8,4.7,3,4,1,2009,Medium,Mid-Career (31-45),0,4.75,0.2027027027027027,Moderate,2
EMP04384,2014-09-25,31.0,Female,Separated,Region I,Bachelor,Sales,Regular,Graveyard,6.4,34500.0,2.7,Meets Expectations,45.0,12,6,300.0,3.6,1.3,1,0,1,2014,Medium,Mid-Career (31-45),0,2.45,0.15625,Low,3
EMP01430,2017-08-04,54.0,Female,Single,Region IV-A,Master,Operations,Regular,Morning,21.1,58000.0,3.4,Meets Expectations,28.0,17,29,38.0,5.0,2.5,4,3,0,2017,High,Senior (46+),0,3.75,0.1895734597156398,High,3
EMP04559,2017-08-08,34.0,Female,Widowed,Region IV-A,Vocational,Operations,Contractual,Afternoon,4.4,21000.0,3.1,Meets Expectations,19.0,13,37,57.0,4.6,2.3,1,2,1,2017,Low,Mid-Career (31-45),0,3.4499999999999997,0.22727272727272727,Very High,3
EMP05852,2022-11-10,37.0,Female,Married,Region III,Bachelor,Sales,Regular,Graveyard,9.3,32500.0,3.1,Meets Expectations,26.0,9,21,73.0,1.9,4.7,2,1,1,2022,Medium,Mid-Career (31-45),0,3.3,0.2150537634408602,High,3
EMP01180,2008-01-05,38.0,Female,Married,Region VII,Bachelor,Operations,Regular,Morning,12.3,34500.0,3.8,Exceeds Expectations,48.0,20,34,115.0,4.2,4.7,3,5,1,2008,Medium,Mid-Career (31-45),0,4.45,0.24390243902439024,Very High,2
EMP01066,2013-02-09,50.0,Male,Single,NCR,Bachelor,HR,Contractual,Afternoon,11.7,35000.0,4.6,Outstanding,57.0,6,25,9.0,5.3,5.1,3,0,1,2013,Medium,Senior (46+),1,5.199999999999999,0.25641025641025644,High,3
EMP05282,2008-01-11,32.0,Female,Single,NCR,Bachelor,Marketing,Project-based,Night,3.6,32500.0,1.0,Needs Improvement,31.0,16,24,6.0,3.4,4.8,0,0,1,2008,Medium,Mid-Career (31-45),0,4.1,0.0,High,2
EMP05859,2017-05-24,30.0,Male,Married,Region VII,Bachelor,Customer Service,Project-based,Afternoon,3.6,28500.0,4.1,Exceeds Expectations,40.0,12,15,113.0,3.0,6.1,1,0,1,2017,Medium,Young (18-30),1,4.55,0.2777777777777778,Moderate,3
EMP01765,2010-06-04,39.0,Female,Married,Region XI,Master,Operations,Regular,Afternoon,11.8,47500.0,2.9,Meets Expectations,28.0,14,29,300.0,5.6,3.5,2,1,0,2010,High,Mid-Career (31-45),0,4.55,0.1694915254237288,High,3
EMP03590,2019-11-29,34.0,Male,Single,Region XI,Bachelor,IT,Contractual,Graveyard,7.2,54500.0,2.9,Meets Expectations,21.0,9,22,300.0,3.8,3.3,1,0,1,2019,High,Mid-Career (31-45),0,3.55,0.1388888888888889,High,3
EMP01904,2012-01-09,58.0,Male,Separated,NCR,Bachelor,HR,Regular,Night,30.0,52000.0,1.2,Needs Improvement,5.0,15,26,5.0,4.2,3.7,2,1,1,2012,High,Senior (46+),0,3.95,0.06666666666666667,High,2
EMP05323,2017-09-03,42.0,Female,Married,NCR,Bachelor,IT,Regular,Morning,21.0,68000.0,4.3,Exceeds Expectations,48.0,8,0,38.0,5.5,5.5,6,2,0,2017,Very High,Mid-Career (31-45),1,5.5,0.2857142857142857,Low,1
EMP01882,2013-08-21,43.0,Female,Widowed,Region VII,Vocational,IT,Regular,Night,28.3,61500.0,3.0,Meets Expectations,19.0,11,23,300.0,2.7,4.1,6,1,1,2013,Very High,Mid-Career (31-45),0,3.4,0.21201413427561838,High,3
EMP02169,2013-03-28,33.0,Male,Married,Region III,Bachelor,Operations,Regular,Graveyard,9.4,40000.0,2.8,Meets Expectations,29.0,13,23,52.0,5.2,1.0,1,2,1,2013,Medium,Mid-Career (31-45),0,3.1,0.10638297872340426,High,3
EMP05507,2014-04-15,48.0,Male,Separated,Region III,Master,Marketing,Contractual,Morning,10.4,58000.0,4.4,Exceeds Expectations,50.0,7,12,48.0,5.9,4.6,3,2,1,2014,High,Senior (46+),1,5.25,0.28846153846153844,Moderate,3
EMP04041,2008-05-17,27.0,Female,Separated,NCR,Bachelor,Operations,Regular,Graveyard,4.3,26500.0,4.9,Outstanding,51.0,8,15,6.0,5.8,1.7,1,1,1,2008,Medium,Young (18-30),1,3.75,0.23255813953488372,Moderate,3
EMP03171,2016-05-05,40.0,Female,Single,Region III,Bachelor,IT,Regular,Afternoon,16.4,61500.0,2.7,Meets Expectations,49.0,11,18,39.0,6.2,5.7,3,2,0,2016,Very High,Mid-Career (31-45),0,5.95,0.1829268292682927,Moderate,3
EMP04738,2016-08-11,35.0,Male,Single,Region XI,Master,Marketing,Regular,Night,11.6,53000.0,3.3,Meets Expectations,19.0,15,17,300.0,3.0,6.9,2,3,1,2016,High,Mid-Career (31-45),0,4.95,0.1724137931034483,Moderate,3
EMP02913,2008-12-23,40.0,Male,Single,Region IV-A,Vocational,Legal/Compliance,Project-based,Night,6.4,35500.0,3.7,Exceeds Expectations,27.0,8,14,38.0,5.6,6.0,1,2,0,2008,Medium,Mid-Career (31-45),0,5.8,0.15625,Moderate,3
EMP01030,2021-03-20,58.0,Male,Single,NCR,Bachelor,Operations,Regular,Morning,22.5,48500.0,5.0,Outstanding,56.0,6,27,5.0,5.9,4.4,7,0,0,2021,High,Senior (46+),1,5.15,0.3111111111111111,High,1
EMP01585,2013-04-08,51.0,Female,Separated,Region IV-A,Bachelor,IT,Regular,Afternoon,26.2,65000.0,4.0,Exceeds Expectations,55.0,7,4,22.0,3.7,2.2,7,0,0,2013,Very High,Senior (46+),1,2.95,0.26717557251908397,Low,1
EMP01473,2010-06-04,58.0,Male,Single,Region XI,Master,Operations,Contractual,Morning,13.1,48500.0,1.3,Needs Improvement,45.0,13,11,300.0,3.6,5.9,1,1,0,2010,High,Senior (46+),0,4.75,0.07633587786259542,Moderate,2
EMP01492,2015-11-16,35.0,Female,Married,NCR,High School,IT,Regular,Morning,20.1,54500.0,4.3,Exceeds Expectations,59.0,7,18,5.0,7.3,4.8,6,1,0,2015,High,Mid-Career (31-45),1,6.05,0.29850746268656714,Moderate,1
EMP03975,2008-05-12,58.0,Female,Married,NCR,PhD,Sales,Regular,Night,24.1,70000.0,4.2,Exceeds Expectations,35.0,9,0,6.0,7.7,6.0,6,1,0,2008,Very High,Senior (46+),1,6.85,0.24896265560165973,Low,1
EMP03122,2010-04-20,47.0,Male,Single,NCR,Bachelor,Finance,Regular,Morning,28.7,64000.0,4.1,Exceeds Expectations,57.0,9,21,8.0,8.1,6.9,8,1,0,2010,Very High,Senior (46+),1,7.5,0.2787456445993031,High,1
EMP03878,2020-06-19,39.0,Male,Single,Region IV-A,Bachelor,Operations,Regular,Night,14.8,36500.0,3.4,Meets Expectations,41.0,11,19,39.0,5.0,4.2,4,2,1,2020,Medium,Mid-Career (31-45),0,4.6,0.27027027027027023,Moderate,3
EMP01554,2021-10-21,58.0,Female,Married,CAR,Bachelor,HR,Regular,Night,27.8,47000.0,3.5,Exceeds Expectations,45.0,9,0,300.0,3.2,4.8,6,1,0,2021,High,Senior (46+),0,4.0,0.2158273381294964,Low,1
EMP01799,2010-05-14,52.0,Female,Single,NCR,Master,IT,Regular,Night,29.9,76500.0,3.6,Exceeds Expectations,43.0,9,22,9.0,5.4,4.8,7,2,0,2010,Very High,Senior (46+),0,5.1,0.23411371237458195,High,1
EMP02171,2008-12-23,36.0,Male,Single,NCR,Master,IT,Regular,Graveyard,13.8,66500.0,2.7,Meets Expectations,33.0,10,22,7.0,4.0,3.3,2,1,0,2008,Very High,Mid-Career (31-45),0,3.65,0.14492753623188406,High,3
EMP01725,2015-05-01,58.0,Male,Married,Region IV-A,Bachelor,HR,Project-based,Morning,11.8,30500.0,2.5,Meets Expectations,25.0,13,23,24.0,3.2,2.5,2,1,1,2015,Medium,Senior (46+),0,2.85,0.1694915254237288,High,3
EMP03488,2018-10-10,52.0,Female,Married,Region VII,High School,Customer Service,Regular,Night,23.5,40000.0,3.7,Exceeds Expectations,53.0,18,22,278.0,5.1,10.0,6,1,0,2018,Medium,Senior (46+),0,7.55,0.2553191489361702,High,3
EMP02213,2008-10-21,58.0,Male,Married,NCR,Bachelor,Operations,Regular,Night,26.3,48500.0,3.2,Meets Expectations,53.0,9,25,5.0,5.0,3.6,5,1,0,2008,High,Senior (46+),0,4.3,0.19011406844106463,High,1
EMP02434,2010-01-20,54.0,Female,Single,NCR,Bachelor,IT,Regular,Afternoon,27.8,70500.0,4.9,Outstanding,36.0,11,12,8.0,6.0,2.8,8,0,0,2010,Very High,Senior (46+),1,4.4,0.28776978417266186,Moderate,1
EMP04198,2015-12-09,57.0,Male,Single,Region IV-A,Bachelor,Customer Service,Contractual,Night,14.6,38000.0,3.2,Meets Expectations,33.0,10,25,18.0,4.3,4.4,3,4,1,2015,Medium,Senior (46+),0,4.35,0.20547945205479454,High,3
EMP02182,2010-10-31,45.0,Male,Married,Region IV-A,Master,Sales,Project-based,Graveyard,6.8,45000.0,3.2,Meets Expectations,53.0,11,6,36.0,5.1,1.0,1,3,1,2010,High,Mid-Career (31-45),0,3.05,0.14705882352941177,Low,3
EMP01024,2022-07-29,49.0,Female,Married,Region III,High School,Sales,Contractual,Night,7.8,28000.0,2.9,Meets Expectations,42.0,16,20,70.0,4.8,5.5,1,0,1,2022,Medium,Senior (46+),0,5.15,0.12820512820512822,Moderate,3
EMP03260,2015-09-23,34.0,Female,Married,NCR,Master,Finance,Contractual,Night,8.1,48000.0,2.7,Meets Expectations,21.0,12,16,12.0,1.1,8.8,1,0,1,2015,High,Mid-Career (31-45),0,4.95,0.1234567901234568,Moderate,3
EMP04989,2009-05-25,47.0,Female,Single,NCR,Vocational,Sales,Regular,Afternoon,15.3,33000.0,5.0,Outstanding,38.0,8,8,9.0,3.9,3.9,5,2,1,2009,Medium,Senior (46+),1,3.9,0.32679738562091504,Low,3
EMP01169,2022-01-09,35.0,Male,Married,Region I,Bachelor,Operations,Regular,Afternoon,9.2,35500.0,3.5,Exceeds Expectations,32.0,10,13,287.0,4.3,5.8,2,2,1,2022,Medium,Mid-Career (31-45),0,5.05,0.2173913043478261,Moderate,3
EMP04606,2009-09-10,34.0,Male,Single,Region I,Vocational,Operations,Contractual,Afternoon,4.5,29000.0,3.6,Exceeds Expectations,38.0,8,29,210.0,6.1,4.5,1,0,1,2009,Medium,Mid-Career (31-45),0,5.3,0.2222222222222222,High,3
EMP02593,2020-11-16,58.0,Male,Married,Region VII,Bachelor,Operations,Contractual,Night,12.0,42000.0,2.6,Meets Expectations,14.0,12,26,190.0,5.9,5.5,2,2,1,2020,High,Senior (46+),0,5.7,0.16666666666666666,High,3
EMP03987,2020-10-11,41.0,Female,Married,Region IV-A,Master,Operations,Regular,Morning,14.3,54500.0,1.3,Needs Improvement,39.0,18,21,38.0,2.3,4.7,1,1,1,2020,High,Mid-Career (31-45),0,3.5,0.06993006993006992,High,2
EMP05565,2018-01-02,48.0,Male,Married,CAR,Bachelor,Operations,Regular,Graveyard,16.9,41000.0,3.5,Meets Expectations,27.0,10,29,300.0,3.5,2.8,4,4,1,2018,High,Senior (46+),0,3.15,0.2366863905325444,High,3
EMP05222,2011-07-14,58.0,Female,Married,Region III,PhD,IT,Project-based,Graveyard,13.9,76000.0,2.7,Meets Expectations,25.0,10,5,28.0,5.4,5.6,2,1,1,2011,Very High,Senior (46+),0,5.5,0.14388489208633093,Low,3
EMP01228,2013-02-28,52.0,Female,Married,Region VII,Master,Sales,Regular,Morning,16.2,46500.0,3.6,Exceeds Expectations,38.0,8,13,236.0,6.8,4.8,4,0,0,2013,High,Senior (46+),0,5.8,0.2469135802469136,Moderate,3
EMP02421,2016-02-19,49.0,Female,Single,NCR,Bachelor,Sales,Contractual,Night,8.2,32000.0,4.9,Outstanding,58.0,7,16,14.0,4.4,4.6,3,1,1,2016,Medium,Senior (46+),1,4.5,0.3658536585365854,Moderate,3
EMP05196,2021-10-09,58.0,Male,Widowed,NCR,High School,Operations,Project-based,Afternoon,10.7,33500.0,3.0,Meets Expectations,41.0,11,28,8.0,4.1,4.5,2,1,1,2021,Medium,Senior (46+),0,4.3,0.1869158878504673,High,3
EMP03747,2017-11-28,46.0,Male,Single,NCR,Vocational,HR,Project-based,Graveyard,8.3,21000.0,2.8,Meets Expectations,41.0,14,27,7.0,4.2,3.4,1,1,1,2017,Low,Senior (46+),0,3.8,0.12048192771084336,High,3
